Wall time,Step,Value
1748685875.685432,500,2.2032999992370605
1748686659.495804,1000,0.35199999809265137
1748687898.9636276,1500,0.2671000063419342
1748688692.1646938,2000,0.2535000145435333
1748689924.7186182,2500,0.2526000142097473
1748690719.8177447,3000,0.2433999925851822
1748691957.4017105,3500,0.23770000040531158
1748692738.1546957,4000,0.23899999260902405
1748693964.1823335,4500,0.23499999940395355
1748694752.4737349,5000,0.23229999840259552
1748695986.5647657,5500,0.23070000112056732
1748696768.8146596,6000,0.23389999568462372
1748697999.6415603,6500,0.23399999737739563
1748698789.2726154,7000,0.22439999878406525
1748700027.0406048,7500,0.21899999678134918
1748700811.7019901,8000,0.2272000014781952
1748702046.8885386,8500,0.218299999833107
1748702836.8608036,9000,0.22269999980926514
1748704070.3755267,9500,0.22139999270439148
