Wall time,Step,Value
1748686189.6215146,250,3.304500102996826
1748687113.3313005,500,1.0188000202178955
1748688609.0728848,750,0.36410000920295715
1748689552.4044688,1000,0.2833999991416931
1748691041.0728674,1250,0.27129998803138733
1748691989.0024614,1500,0.2572999894618988
1748693473.5279765,1750,0.24879999458789825
1748694388.2497795,2000,0.24940000474452972
1748695872.546234,2250,0.24459999799728394
1748696803.630565,2500,0.2409999966621399
1748698293.6597743,2750,0.24009999632835388
1748699215.9561963,3000,0.24240000545978546
1748700708.2220006,3250,0.24279999732971191
1748701640.495208,3500,0.2329999953508377
1748703137.513199,3750,0.2282000035047531
1748704069.7707396,4000,0.23600000143051147
1748705553.7694337,4250,0.227400004863739
1748706486.618472,4500,0.23149999976158142
1748707980.853744,4750,0.23019999265670776
