Wall time,Step,Value
1748685004.3956518,1000,1.2984000444412231
1748685792.6479123,2000,0.27079999446868896
1748686987.893497,3000,0.24740000069141388
1748687781.3514876,4000,0.2401999980211258
1748688969.36432,5000,0.2409999966621399
1748689761.1611166,6000,0.23319999873638153
1748690947.631807,7000,0.22750000655651093
1748691727.8482149,8000,0.2289000004529953
1748692910.8174365,9000,0.22519999742507935
1748693694.366043,10000,0.2222999930381775
1748694882.3029864,11000,0.2214999943971634
1748695663.624415,12000,0.22429999709129333
1748696849.5461643,13000,0.22509999573230743
1748697637.1347568,14000,0.2152000069618225
1748698826.9015346,15000,0.20999999344348907
1748699613.6559052,16000,0.21889999508857727
1748700799.1170685,17000,0.210099995136261
1748701590.9671714,18000,0.21410000324249268
1748702780.8818178,19000,0.21310000121593475
