Wall time,Step,Value
1744403223.883238,250,0.7350999712944031
1744406172.5767655,500,0.334199994802475
1744409998.853713,750,0.30469998717308044
1744412949.4708052,1000,0.29269999265670776
1744416775.0582626,1250,0.2930999994277954
1744419723.3343177,1500,0.27630001306533813
1744423545.646246,1750,0.2703999876976013
1744426490.687645,2000,0.26980000734329224
1744430315.6513877,2250,0.25940001010894775
1744433262.0362446,2500,0.2502000033855438
1744437083.9689171,2750,0.2354000061750412
1744440029.348196,3000,0.23970000445842743
1744443854.3102276,3250,0.23690000176429749
1744446803.7740178,3500,0.2248000055551529
1744450629.9163098,3750,0.2175000011920929
1744453581.1552618,4000,0.22390000522136688
1744457406.8496866,4250,0.21310000121593475
1744460357.2710395,4500,0.21379999816417694
1744464179.0938747,4750,0.21299999952316284
