Wall time,Step,Value
1744403268.664631,1000,0.4564000070095062
1744406450.3735187,2000,0.3163999915122986
1744410549.2064703,3000,0.2897999882698059
1744413731.8156111,4000,0.275299996137619
1744417835.5656424,5000,0.27480000257492065
1744421018.780539,6000,0.2574999928474426
1744425121.852782,7000,0.2500999867916107
1744428306.1766827,8000,0.24789999425411224
1744432408.841685,9000,0.23849999904632568
1744435592.1191318,10000,0.23000000417232513
1744439692.6247072,11000,0.2117999941110611
1744442873.7290592,12000,0.21629999577999115
1744446976.4442878,13000,0.21570000052452087
1744450161.165162,14000,0.20469999313354492
1744454265.9789186,15000,0.1964000016450882
1744457448.9866667,16000,0.20190000534057617
1744461552.9803107,17000,0.18950000405311584
1744464736.0278096,18000,0.18970000743865967
1744468838.5755508,19000,0.18889999389648438
